id,lat,lon,data_hora_gmt,satelite,municipio,estado,pais,municipio_id,estado_id,pais_id,numero_dias_sem_chuva,precipitacao,risco_fogo,bioma,frp,data
e8d7b120-b841-3df2-9e79-483a9b799a36,-13.20969,-51.23674,2024-09-28 05:25:00,AQUA_M-M,RIBEIRÃO CASCALHEIRA,MATO GROSSO,Brasil,5107180,51,33,,,,Cerrado,7.6,20240928
038e5942-0676-3bae-9545-9cc99000a7c9,-13.2283,-51.259399,2024-09-28 01:07:36,METOP-C,RIBEIRÃO CASCALHEIRA,MATO GROSSO,Brasil,5107180,51,33,,,,Cerrado,,20240928
5c3e5611-1f57-3b72-ae36-a4e2849c9e5b,-19.81583,-44.05052,2024-09-28 04:23:00,NOAA-21,RIBEIRÃO DAS NEVES,MINAS GERAIS,Brasil,3154606,31,33,,,,Cerrado,1.4,20240928
21560239-7450-3a64-878b-8c6a5ccdc7c9,-23.75429,-46.45655,2024-09-29 16:35:00,NOAA-21,RIBEIRÃO PIRES,SÃO PAULO,Brasil,3543303,35,33,,,,Mata Atlântica,2.5,20240929
3d9f49ce-86b2-3441-ad90-5dd36bfb192d,-21.509,-48.06927,2024-09-30 04:34:00,NOAA-20,RINCÃO,SÃO PAULO,Brasil,3543709,35,33,,,,Cerrado,1.9,20240930
05a52a15-05ee-3825-a4c9-cbf046e27d66,-21.51091,-48.071,2024-09-28 04:23:00,NOAA-21,RINCÃO,SÃO PAULO,Brasil,3543709,35,33,,,,Cerrado,1.3,20240928
9e017467-36f5-3bba-972c-b078602e9020,-21.5673,-50.77047,2024-09-29 17:22:00,NOAA-20,RINÓPOLIS,SÃO PAULO,Brasil,3543808,35,33,,,,Mata Atlântica,24.2,20240929
740de309-50e3-3fca-b590-a806e35b9c39,-19.18722,-40.33136,2024-09-29 04:04:00,NOAA-21,RIO BANANAL,ESPÍRITO SANTO,Brasil,3204351,32,33,,,,Mata Atlântica,0.9,20240929
82da53f4-510c-3628-bb5e-ab43fc7bdadf,-25.47752,-52.73508,2024-09-29 16:35:00,NOAA-21,RIO BONITO DO IGUAÇU,PARANÁ,Brasil,4122156,41,33,,,,Mata Atlântica,4.8,20240929
1ec2a965-0f13-3a6a-bfb9-a44c4e14f532,-10.10921,-67.88853,2024-09-30 06:14:00,NOAA-20,RIO BRANCO,ACRE,Brasil,1200401,12,33,,,,Amazônia,1.0,20240930
